id,date,country,store,product,num_sold
950,2010-01-11,Kenya,Stickers for Less,Holographic Goose,20.0
955,2010-01-11,Kenya,Premium Sticker Mart,Holographic Goose,20.0
990,2010-01-12,Canada,Discount Stickers,Holographic Goose,800.0
1035,2010-01-12,Kenya,Discount Stickers,Holographic Goose,20.0
1040,2010-01-12,Kenya,Stickers for Less,Holographic Goose,20.0
1045,2010-01-12,Kenya,Premium Sticker Mart,Holographic Goose,20.0
1080,2010-01-13,Canada,Discount Stickers,Holographic Goose,800.0
1125,2010-01-13,Kenya,Discount Stickers,Holographic Goose,20.0
1128,2010-01-13,Kenya,Discount Stickers,Kerneler,20.0
1130,2010-01-13,Kenya,Stickers for Less,Holographic Goose,20.0
1135,2010-01-13,Kenya,Premium Sticker Mart,Holographic Goose,20.0
1170,2010-01-14,Canada,Discount Stickers,Holographic Goose,800.0
1175,2010-01-14,Canada,Stickers for Less,Holographic Goose,800.0
1215,2010-01-14,Kenya,Discount Stickers,Holographic Goose,20.0
1220,2010-01-14,Kenya,Stickers for Less,Holographic Goose,20.0
1225,2010-01-14,Kenya,Premium Sticker Mart,Holographic Goose,20.0
1260,2010-01-15,Canada,Discount Stickers,Holographic Goose,800.0
1305,2010-01-15,Kenya,Discount Stickers,Holographic Goose,20.0
1310,2010-01-15,Kenya,Stickers for Less,Holographic Goose,20.0
1315,2010-01-15,Kenya,Premium Sticker Mart,Holographic Goose,20.0
1350,2010-01-16,Canada,Discount Stickers,Holographic Goose,800.0
1395,2010-01-16,Kenya,Discount Stickers,Holographic Goose,20.0
1400,2010-01-16,Kenya,Stickers for Less,Holographic Goose,20.0
1440,2010-01-17,Canada,Discount Stickers,Holographic Goose,800.0
1485,2010-01-17,Kenya,Discount Stickers,Holographic Goose,20.0
1530,2010-01-18,Canada,Discount Stickers,Holographic Goose,800.0
1535,2010-01-18,Canada,Stickers for Less,Holographic Goose,800.0
1575,2010-01-18,Kenya,Discount Stickers,Holographic Goose,20.0
1580,2010-01-18,Kenya,Stickers for Less,Holographic Goose,20.0
1585,2010-01-18,Kenya,Premium Sticker Mart,Holographic Goose,20.0
1620,2010-01-19,Canada,Discount Stickers,Holographic Goose,800.0
1625,2010-01-19,Canada,Stickers for Less,Holographic Goose,800.0
1665,2010-01-19,Kenya,Discount Stickers,Holographic Goose,20.0
1670,2010-01-19,Kenya,Stickers for Less,Holographic Goose,20.0
1675,2010-01-19,Kenya,Premium Sticker Mart,Holographic Goose,20.0
1710,2010-01-20,Canada,Discount Stickers,Holographic Goose,800.0
1715,2010-01-20,Canada,Stickers for Less,Holographic Goose,800.0
1755,2010-01-20,Kenya,Discount Stickers,Holographic Goose,20.0
1760,2010-01-20,Kenya,Stickers for Less,Holographic Goose,20.0
1765,2010-01-20,Kenya,Premium Sticker Mart,Holographic Goose,20.0
1800,2010-01-21,Canada,Discount Stickers,Holographic Goose,800.0
1805,2010-01-21,Canada,Stickers for Less,Holographic Goose,800.0
1845,2010-01-21,Kenya,Discount Stickers,Holographic Goose,20.0
1850,2010-01-21,Kenya,Stickers for Less,Holographic Goose,20.0
1855,2010-01-21,Kenya,Premium Sticker Mart,Holographic Goose,20.0
1890,2010-01-22,Canada,Discount Stickers,Holographic Goose,800.0
1935,2010-01-22,Kenya,Discount Stickers,Holographic Goose,20.0
1940,2010-01-22,Kenya,Stickers for Less,Holographic Goose,20.0
1945,2010-01-22,Kenya,Premium Sticker Mart,Holographic Goose,20.0
1980,2010-01-23,Canada,Discount Stickers,Holographic Goose,800.0
2025,2010-01-23,Kenya,Discount Stickers,Holographic Goose,20.0
2030,2010-01-23,Kenya,Stickers for Less,Holographic Goose,20.0
2070,2010-01-24,Canada,Discount Stickers,Holographic Goose,800.0
2115,2010-01-24,Kenya,Discount Stickers,Holographic Goose,20.0
2160,2010-01-25,Canada,Discount Stickers,Holographic Goose,800.0
2165,2010-01-25,Canada,Stickers for Less,Holographic Goose,800.0
2205,2010-01-25,Kenya,Discount Stickers,Holographic Goose,20.0
2210,2010-01-25,Kenya,Stickers for Less,Holographic Goose,20.0
2215,2010-01-25,Kenya,Premium Sticker Mart,Holographic Goose,20.0
2250,2010-01-26,Canada,Discount Stickers,Holographic Goose,800.0
2295,2010-01-26,Kenya,Discount Stickers,Holographic Goose,20.0
2300,2010-01-26,Kenya,Stickers for Less,Holographic Goose,20.0
2305,2010-01-26,Kenya,Premium Sticker Mart,Holographic Goose,20.0
2340,2010-01-27,Canada,Discount Stickers,Holographic Goose,800.0
2345,2010-01-27,Canada,Stickers for Less,Holographic Goose,800.0
2385,2010-01-27,Kenya,Discount Stickers,Holographic Goose,20.0
2390,2010-01-27,Kenya,Stickers for Less,Holographic Goose,20.0
2395,2010-01-27,Kenya,Premium Sticker Mart,Holographic Goose,20.0
2430,2010-01-28,Canada,Discount Stickers,Holographic Goose,800.0
2435,2010-01-28,Canada,Stickers for Less,Holographic Goose,800.0
2475,2010-01-28,Kenya,Discount Stickers,Holographic Goose,20.0
2480,2010-01-28,Kenya,Stickers for Less,Holographic Goose,20.0
2485,2010-01-28,Kenya,Premium Sticker Mart,Holographic Goose,20.0
2520,2010-01-29,Canada,Discount Stickers,Holographic Goose,800.0
2565,2010-01-29,Kenya,Discount Stickers,Holographic Goose,20.0
2570,2010-01-29,Kenya,Stickers for Less,Holographic Goose,20.0
2575,2010-01-29,Kenya,Premium Sticker Mart,Holographic Goose,20.0
2610,2010-01-30,Canada,Discount Stickers,Holographic Goose,800.0
2655,2010-01-30,Kenya,Discount Stickers,Holographic Goose,20.0
2660,2010-01-30,Kenya,Stickers for Less,Holographic Goose,20.0
2700,2010-01-31,Canada,Discount Stickers,Holographic Goose,800.0
2745,2010-01-31,Kenya,Discount Stickers,Holographic Goose,20.0
2750,2010-01-31,Kenya,Stickers for Less,Holographic Goose,20.0
2790,2010-02-01,Canada,Discount Stickers,Holographic Goose,800.0
2795,2010-02-01,Canada,Stickers for Less,Holographic Goose,800.0
2835,2010-02-01,Kenya,Discount Stickers,Holographic Goose,20.0
2840,2010-02-01,Kenya,Stickers for Less,Holographic Goose,20.0
2845,2010-02-01,Kenya,Premium Sticker Mart,Holographic Goose,20.0
2880,2010-02-02,Canada,Discount Stickers,Holographic Goose,800.0
2925,2010-02-02,Kenya,Discount Stickers,Holographic Goose,20.0
2930,2010-02-02,Kenya,Stickers for Less,Holographic Goose,20.0
2935,2010-02-02,Kenya,Premium Sticker Mart,Holographic Goose,20.0
2970,2010-02-03,Canada,Discount Stickers,Holographic Goose,800.0
3015,2010-02-03,Kenya,Discount Stickers,Holographic Goose,20.0
3020,2010-02-03,Kenya,Stickers for Less,Holographic Goose,20.0
3025,2010-02-03,Kenya,Premium Sticker Mart,Holographic Goose,20.0
3060,2010-02-04,Canada,Discount Stickers,Holographic Goose,800.0
3065,2010-02-04,Canada,Stickers for Less,Holographic Goose,800.0
3105,2010-02-04,Kenya,Discount Stickers,Holographic Goose,20.0
3108,2010-02-04,Kenya,Discount Stickers,Kerneler,20.0
3110,2010-02-04,Kenya,Stickers for Less,Holographic Goose,20.0
3115,2010-02-04,Kenya,Premium Sticker Mart,Holographic Goose,20.0
3150,2010-02-05,Canada,Discount Stickers,Holographic Goose,800.0
3195,2010-02-05,Kenya,Discount Stickers,Holographic Goose,20.0
3200,2010-02-05,Kenya,Stickers for Less,Holographic Goose,20.0
3205,2010-02-05,Kenya,Premium Sticker Mart,Holographic Goose,20.0
3240,2010-02-06,Canada,Discount Stickers,Holographic Goose,800.0
3285,2010-02-06,Kenya,Discount Stickers,Holographic Goose,20.0
3290,2010-02-06,Kenya,Stickers for Less,Holographic Goose,20.0
3330,2010-02-07,Canada,Discount Stickers,Holographic Goose,800.0
3375,2010-02-07,Kenya,Discount Stickers,Holographic Goose,20.0
3380,2010-02-07,Kenya,Stickers for Less,Holographic Goose,20.0
3420,2010-02-08,Canada,Discount Stickers,Holographic Goose,800.0
3425,2010-02-08,Canada,Stickers for Less,Holographic Goose,800.0
3465,2010-02-08,Kenya,Discount Stickers,Holographic Goose,20.0
3470,2010-02-08,Kenya,Stickers for Less,Holographic Goose,20.0
3475,2010-02-08,Kenya,Premium Sticker Mart,Holographic Goose,20.0
3510,2010-02-09,Canada,Discount Stickers,Holographic Goose,800.0
3515,2010-02-09,Canada,Stickers for Less,Holographic Goose,800.0
3555,2010-02-09,Kenya,Discount Stickers,Holographic Goose,20.0
3558,2010-02-09,Kenya,Discount Stickers,Kerneler,20.0
3560,2010-02-09,Kenya,Stickers for Less,Holographic Goose,20.0
3565,2010-02-09,Kenya,Premium Sticker Mart,Holographic Goose,20.0
3600,2010-02-10,Canada,Discount Stickers,Holographic Goose,800.0
3645,2010-02-10,Kenya,Discount Stickers,Holographic Goose,20.0
3650,2010-02-10,Kenya,Stickers for Less,Holographic Goose,20.0
3655,2010-02-10,Kenya,Premium Sticker Mart,Holographic Goose,20.0
3690,2010-02-11,Canada,Discount Stickers,Holographic Goose,800.0
3695,2010-02-11,Canada,Stickers for Less,Holographic Goose,800.0
3735,2010-02-11,Kenya,Discount Stickers,Holographic Goose,20.0
3738,2010-02-11,Kenya,Discount Stickers,Kerneler,20.0
3740,2010-02-11,Kenya,Stickers for Less,Holographic Goose,20.0
3745,2010-02-11,Kenya,Premium Sticker Mart,Holographic Goose,20.0
3780,2010-02-12,Canada,Discount Stickers,Holographic Goose,800.0
3785,2010-02-12,Canada,Stickers for Less,Holographic Goose,800.0
3825,2010-02-12,Kenya,Discount Stickers,Holographic Goose,20.0
3830,2010-02-12,Kenya,Stickers for Less,Holographic Goose,20.0
3835,2010-02-12,Kenya,Premium Sticker Mart,Holographic Goose,20.0
3870,2010-02-13,Canada,Discount Stickers,Holographic Goose,800.0
3915,2010-02-13,Kenya,Discount Stickers,Holographic Goose,20.0
3920,2010-02-13,Kenya,Stickers for Less,Holographic Goose,20.0
3960,2010-02-14,Canada,Discount Stickers,Holographic Goose,800.0
4005,2010-02-14,Kenya,Discount Stickers,Holographic Goose,20.0
4010,2010-02-14,Kenya,Stickers for Less,Holographic Goose,20.0
4050,2010-02-15,Canada,Discount Stickers,Holographic Goose,800.0
4055,2010-02-15,Canada,Stickers for Less,Holographic Goose,800.0
4095,2010-02-15,Kenya,Discount Stickers,Holographic Goose,20.0
4098,2010-02-15,Kenya,Discount Stickers,Kerneler,20.0
4100,2010-02-15,Kenya,Stickers for Less,Holographic Goose,20.0
4105,2010-02-15,Kenya,Premium Sticker Mart,Holographic Goose,20.0
4140,2010-02-16,Canada,Discount Stickers,Holographic Goose,800.0
4145,2010-02-16,Canada,Stickers for Less,Holographic Goose,800.0
4185,2010-02-16,Kenya,Discount Stickers,Holographic Goose,20.0
4188,2010-02-16,Kenya,Discount Stickers,Kerneler,20.0
4190,2010-02-16,Kenya,Stickers for Less,Holographic Goose,20.0
4195,2010-02-16,Kenya,Premium Sticker Mart,Holographic Goose,20.0
4230,2010-02-17,Canada,Discount Stickers,Holographic Goose,800.0
4235,2010-02-17,Canada,Stickers for Less,Holographic Goose,800.0
4275,2010-02-17,Kenya,Discount Stickers,Holographic Goose,20.0
4278,2010-02-17,Kenya,Discount Stickers,Kerneler,20.0
4280,2010-02-17,Kenya,Stickers for Less,Holographic Goose,20.0
4285,2010-02-17,Kenya,Premium Sticker Mart,Holographic Goose,20.0
4320,2010-02-18,Canada,Discount Stickers,Holographic Goose,800.0
4325,2010-02-18,Canada,Stickers for Less,Holographic Goose,800.0
4365,2010-02-18,Kenya,Discount Stickers,Holographic Goose,20.0
4370,2010-02-18,Kenya,Stickers for Less,Holographic Goose,20.0
4375,2010-02-18,Kenya,Premium Sticker Mart,Holographic Goose,20.0
4410,2010-02-19,Canada,Discount Stickers,Holographic Goose,800.0
4415,2010-02-19,Canada,Stickers for Less,Holographic Goose,800.0
4455,2010-02-19,Kenya,Discount Stickers,Holographic Goose,20.0
4460,2010-02-19,Kenya,Stickers for Less,Holographic Goose,20.0
4465,2010-02-19,Kenya,Premium Sticker Mart,Holographic Goose,20.0
4500,2010-02-20,Canada,Discount Stickers,Holographic Goose,800.0
4545,2010-02-20,Kenya,Discount Stickers,Holographic Goose,20.0
4550,2010-02-20,Kenya,Stickers for Less,Holographic Goose,20.0
4590,2010-02-21,Canada,Discount Stickers,Holographic Goose,800.0
4635,2010-02-21,Kenya,Discount Stickers,Holographic Goose,20.0
4680,2010-02-22,Canada,Discount Stickers,Holographic Goose,800.0
4685,2010-02-22,Canada,Stickers for Less,Holographic Goose,800.0
4725,2010-02-22,Kenya,Discount Stickers,Holographic Goose,20.0
4730,2010-02-22,Kenya,Stickers for Less,Holographic Goose,20.0
4735,2010-02-22,Kenya,Premium Sticker Mart,Holographic Goose,20.0
4770,2010-02-23,Canada,Discount Stickers,Holographic Goose,800.0
4775,2010-02-23,Canada,Stickers for Less,Holographic Goose,800.0
4815,2010-02-23,Kenya,Discount Stickers,Holographic Goose,20.0
4818,2010-02-23,Kenya,Discount Stickers,Kerneler,20.0
4820,2010-02-23,Kenya,Stickers for Less,Holographic Goose,20.0
4825,2010-02-23,Kenya,Premium Sticker Mart,Holographic Goose,20.0
4860,2010-02-24,Canada,Discount Stickers,Holographic Goose,800.0
4865,2010-02-24,Canada,Stickers for Less,Holographic Goose,800.0
4905,2010-02-24,Kenya,Discount Stickers,Holographic Goose,20.0
4908,2010-02-24,Kenya,Discount Stickers,Kerneler,20.0
4910,2010-02-24,Kenya,Stickers for Less,Holographic Goose,20.0
4915,2010-02-24,Kenya,Premium Sticker Mart,Holographic Goose,20.0
4950,2010-02-25,Canada,Discount Stickers,Holographic Goose,800.0
4995,2010-02-25,Kenya,Discount Stickers,Holographic Goose,20.0
4998,2010-02-25,Kenya,Discount Stickers,Kerneler,20.0
5000,2010-02-25,Kenya,Stickers for Less,Holographic Goose,20.0
5005,2010-02-25,Kenya,Premium Sticker Mart,Holographic Goose,20.0
5040,2010-02-26,Canada,Discount Stickers,Holographic Goose,800.0
5045,2010-02-26,Canada,Stickers for Less,Holographic Goose,800.0
5085,2010-02-26,Kenya,Discount Stickers,Holographic Goose,20.0
5088,2010-02-26,Kenya,Discount Stickers,Kerneler,20.0
5090,2010-02-26,Kenya,Stickers for Less,Holographic Goose,20.0
5130,2010-02-27,Canada,Discount Stickers,Holographic Goose,800.0
5175,2010-02-27,Kenya,Discount Stickers,Holographic Goose,20.0
5180,2010-02-27,Kenya,Stickers for Less,Holographic Goose,20.0
5220,2010-02-28,Canada,Discount Stickers,Holographic Goose,800.0
5265,2010-02-28,Kenya,Discount Stickers,Holographic Goose,20.0
5270,2010-02-28,Kenya,Stickers for Less,Holographic Goose,20.0
5310,2010-03-01,Canada,Discount Stickers,Holographic Goose,800.0
5315,2010-03-01,Canada,Stickers for Less,Holographic Goose,800.0
5355,2010-03-01,Kenya,Discount Stickers,Holographic Goose,20.0
5358,2010-03-01,Kenya,Discount Stickers,Kerneler,20.0
5360,2010-03-01,Kenya,Stickers for Less,Holographic Goose,20.0
5365,2010-03-01,Kenya,Premium Sticker Mart,Holographic Goose,20.0
5400,2010-03-02,Canada,Discount Stickers,Holographic Goose,800.0
5405,2010-03-02,Canada,Stickers for Less,Holographic Goose,800.0
5445,2010-03-02,Kenya,Discount Stickers,Holographic Goose,20.0
5450,2010-03-02,Kenya,Stickers for Less,Holographic Goose,20.0
5455,2010-03-02,Kenya,Premium Sticker Mart,Holographic Goose,20.0
5490,2010-03-03,Canada,Discount Stickers,Holographic Goose,800.0
5495,2010-03-03,Canada,Stickers for Less,Holographic Goose,800.0
5535,2010-03-03,Kenya,Discount Stickers,Holographic Goose,20.0
5538,2010-03-03,Kenya,Discount Stickers,Kerneler,20.0
5540,2010-03-03,Kenya,Stickers for Less,Holographic Goose,20.0
5545,2010-03-03,Kenya,Premium Sticker Mart,Holographic Goose,20.0
5580,2010-03-04,Canada,Discount Stickers,Holographic Goose,800.0
5585,2010-03-04,Canada,Stickers for Less,Holographic Goose,800.0
5625,2010-03-04,Kenya,Discount Stickers,Holographic Goose,20.0
5628,2010-03-04,Kenya,Discount Stickers,Kerneler,20.0
5630,2010-03-04,Kenya,Stickers for Less,Holographic Goose,20.0
5635,2010-03-04,Kenya,Premium Sticker Mart,Holographic Goose,20.0
5670,2010-03-05,Canada,Discount Stickers,Holographic Goose,800.0
5675,2010-03-05,Canada,Stickers for Less,Holographic Goose,800.0
5715,2010-03-05,Kenya,Discount Stickers,Holographic Goose,20.0
5718,2010-03-05,Kenya,Discount Stickers,Kerneler,20.0
5720,2010-03-05,Kenya,Stickers for Less,Holographic Goose,20.0
5725,2010-03-05,Kenya,Premium Sticker Mart,Holographic Goose,20.0
5760,2010-03-06,Canada,Discount Stickers,Holographic Goose,800.0
5805,2010-03-06,Kenya,Discount Stickers,Holographic Goose,20.0
5810,2010-03-06,Kenya,Stickers for Less,Holographic Goose,20.0
5850,2010-03-07,Canada,Discount Stickers,Holographic Goose,800.0
5895,2010-03-07,Kenya,Discount Stickers,Holographic Goose,20.0
5900,2010-03-07,Kenya,Stickers for Less,Holographic Goose,20.0
5940,2010-03-08,Canada,Discount Stickers,Holographic Goose,800.0
5945,2010-03-08,Canada,Stickers for Less,Holographic Goose,800.0
5985,2010-03-08,Kenya,Discount Stickers,Holographic Goose,20.0
5988,2010-03-08,Kenya,Discount Stickers,Kerneler,20.0
5990,2010-03-08,Kenya,Stickers for Less,Holographic Goose,20.0
5995,2010-03-08,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6030,2010-03-09,Canada,Discount Stickers,Holographic Goose,800.0
6035,2010-03-09,Canada,Stickers for Less,Holographic Goose,800.0
6075,2010-03-09,Kenya,Discount Stickers,Holographic Goose,20.0
6078,2010-03-09,Kenya,Discount Stickers,Kerneler,20.0
6080,2010-03-09,Kenya,Stickers for Less,Holographic Goose,20.0
6085,2010-03-09,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6120,2010-03-10,Canada,Discount Stickers,Holographic Goose,800.0
6125,2010-03-10,Canada,Stickers for Less,Holographic Goose,800.0
6165,2010-03-10,Kenya,Discount Stickers,Holographic Goose,20.0
6168,2010-03-10,Kenya,Discount Stickers,Kerneler,20.0
6170,2010-03-10,Kenya,Stickers for Less,Holographic Goose,20.0
6175,2010-03-10,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6210,2010-03-11,Canada,Discount Stickers,Holographic Goose,800.0
6215,2010-03-11,Canada,Stickers for Less,Holographic Goose,800.0
6255,2010-03-11,Kenya,Discount Stickers,Holographic Goose,20.0
6258,2010-03-11,Kenya,Discount Stickers,Kerneler,20.0
6260,2010-03-11,Kenya,Stickers for Less,Holographic Goose,20.0
6265,2010-03-11,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6300,2010-03-12,Canada,Discount Stickers,Holographic Goose,800.0
6305,2010-03-12,Canada,Stickers for Less,Holographic Goose,800.0
6345,2010-03-12,Kenya,Discount Stickers,Holographic Goose,20.0
6348,2010-03-12,Kenya,Discount Stickers,Kerneler,20.0
6350,2010-03-12,Kenya,Stickers for Less,Holographic Goose,20.0
6355,2010-03-12,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6390,2010-03-13,Canada,Discount Stickers,Holographic Goose,800.0
6435,2010-03-13,Kenya,Discount Stickers,Holographic Goose,20.0
6440,2010-03-13,Kenya,Stickers for Less,Holographic Goose,20.0
6445,2010-03-13,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6480,2010-03-14,Canada,Discount Stickers,Holographic Goose,800.0
6525,2010-03-14,Kenya,Discount Stickers,Holographic Goose,20.0
6530,2010-03-14,Kenya,Stickers for Less,Holographic Goose,20.0
6570,2010-03-15,Canada,Discount Stickers,Holographic Goose,800.0
6575,2010-03-15,Canada,Stickers for Less,Holographic Goose,800.0
6615,2010-03-15,Kenya,Discount Stickers,Holographic Goose,20.0
6618,2010-03-15,Kenya,Discount Stickers,Kerneler,20.0
6620,2010-03-15,Kenya,Stickers for Less,Holographic Goose,20.0
6625,2010-03-15,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6660,2010-03-16,Canada,Discount Stickers,Holographic Goose,800.0
6665,2010-03-16,Canada,Stickers for Less,Holographic Goose,800.0
6705,2010-03-16,Kenya,Discount Stickers,Holographic Goose,20.0
6708,2010-03-16,Kenya,Discount Stickers,Kerneler,20.0
6710,2010-03-16,Kenya,Stickers for Less,Holographic Goose,20.0
6715,2010-03-16,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6750,2010-03-17,Canada,Discount Stickers,Holographic Goose,800.0
6755,2010-03-17,Canada,Stickers for Less,Holographic Goose,800.0
6795,2010-03-17,Kenya,Discount Stickers,Holographic Goose,20.0
6798,2010-03-17,Kenya,Discount Stickers,Kerneler,20.0
6800,2010-03-17,Kenya,Stickers for Less,Holographic Goose,20.0
6805,2010-03-17,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6840,2010-03-18,Canada,Discount Stickers,Holographic Goose,800.0
6845,2010-03-18,Canada,Stickers for Less,Holographic Goose,800.0
6885,2010-03-18,Kenya,Discount Stickers,Holographic Goose,20.0
6888,2010-03-18,Kenya,Discount Stickers,Kerneler,20.0
6890,2010-03-18,Kenya,Stickers for Less,Holographic Goose,20.0
6895,2010-03-18,Kenya,Premium Sticker Mart,Holographic Goose,20.0
6930,2010-03-19,Canada,Discount Stickers,Holographic Goose,800.0
6935,2010-03-19,Canada,Stickers for Less,Holographic Goose,800.0
6975,2010-03-19,Kenya,Discount Stickers,Holographic Goose,20.0
6978,2010-03-19,Kenya,Discount Stickers,Kerneler,20.0
6980,2010-03-19,Kenya,Stickers for Less,Holographic Goose,20.0
6985,2010-03-19,Kenya,Premium Sticker Mart,Holographic Goose,20.0
7020,2010-03-20,Canada,Discount Stickers,Holographic Goose,800.0
7065,2010-03-20,Kenya,Discount Stickers,Holographic Goose,20.0
7070,2010-03-20,Kenya,Stickers for Less,Holographic Goose,20.0
7110,2010-03-21,Canada,Discount Stickers,Holographic Goose,800.0
7155,2010-03-21,Kenya,Discount Stickers,Holographic Goose,20.0
7160,2010-03-21,Kenya,Stickers for Less,Holographic Goose,20.0
7200,2010-03-22,Canada,Discount Stickers,Holographic Goose,800.0
7205,2010-03-22,Canada,Stickers for Less,Holographic Goose,800.0
7245,2010-03-22,Kenya,Discount Stickers,Holographic Goose,20.0
7248,2010-03-22,Kenya,Discount Stickers,Kerneler,20.0
7250,2010-03-22,Kenya,Stickers for Less,Holographic Goose,20.0
7255,2010-03-22,Kenya,Premium Sticker Mart,Holographic Goose,20.0
7290,2010-03-23,Canada,Discount Stickers,Holographic Goose,800.0
7295,2010-03-23,Canada,Stickers for Less,Holographic Goose,800.0
7335,2010-03-23,Kenya,Discount Stickers,Holographic Goose,20.0
7338,2010-03-23,Kenya,Discount Stickers,Kerneler,20.0
7340,2010-03-23,Kenya,Stickers for Less,Holographic Goose,20.0
7345,2010-03-23,Kenya,Premium Sticker Mart,Holographic Goose,20.0
7380,2010-03-24,Canada,Discount Stickers,Holographic Goose,800.0
7385,2010-03-24,Canada,Stickers for Less,Holographic Goose,800.0
7425,2010-03-24,Kenya,Discount Stickers,Holographic Goose,20.0
7428,2010-03-24,Kenya,Discount Stickers,Kerneler,20.0
7430,2010-03-24,Kenya,Stickers for Less,Holographic Goose,20.0
7435,2010-03-24,Kenya,Premium Sticker Mart,Holographic Goose,20.0
7470,2010-03-25,Canada,Discount Stickers,Holographic Goose,800.0
7475,2010-03-25,Canada,Stickers for Less,Holographic Goose,800.0
7515,2010-03-25,Kenya,Discount Stickers,Holographic Goose,20.0
7518,2010-03-25,Kenya,Discount Stickers,Kerneler,20.0
7520,2010-03-25,Kenya,Stickers for Less,Holographic Goose,20.0
7525,2010-03-25,Kenya,Premium Sticker Mart,Holographic Goose,20.0
7560,2010-03-26,Canada,Discount Stickers,Holographic Goose,800.0
7565,2010-03-26,Canada,Stickers for Less,Holographic Goose,800.0
7605,2010-03-26,Kenya,Discount Stickers,Holographic Goose,20.0
7608,2010-03-26,Kenya,Discount Stickers,Kerneler,20.0
7610,2010-03-26,Kenya,Stickers for Less,Holographic Goose,20.0
7615,2010-03-26,Kenya,Premium Sticker Mart,Holographic Goose,20.0
7650,2010-03-27,Canada,Discount Stickers,Holographic Goose,800.0
7695,2010-03-27,Kenya,Discount Stickers,Holographic Goose,20.0
7700,2010-03-27,Kenya,Stickers for Less,Holographic Goose,20.0
7705,2010-03-27,Kenya,Premium Sticker Mart,Holographic Goose,20.0
7740,2010-03-28,Canada,Discount Stickers,Holographic Goose,800.0
7785,2010-03-28,Kenya,Discount Stickers,Holographic Goose,20.0
7790,2010-03-28,Kenya,Stickers for Less,Holographic Goose,20.0
7830,2010-03-29,Canada,Discount Stickers,Holographic Goose,800.0
7835,2010-03-29,Canada,Stickers for Less,Holographic Goose,800.0
7875,2010-03-29,Kenya,Discount Stickers,Holographic Goose,20.0
7878,2010-03-29,Kenya,Discount Stickers,Kerneler,20.0
7880,2010-03-29,Kenya,Stickers for Less,Holographic Goose,20.0
7885,2010-03-29,Kenya,Premium Sticker Mart,Holographic Goose,20.0
7920,2010-03-30,Canada,Discount Stickers,Holographic Goose,800.0
7925,2010-03-30,Canada,Stickers for Less,Holographic Goose,800.0
7965,2010-03-30,Kenya,Discount Stickers,Holographic Goose,20.0
7968,2010-03-30,Kenya,Discount Stickers,Kerneler,20.0
7970,2010-03-30,Kenya,Stickers for Less,Holographic Goose,20.0
7975,2010-03-30,Kenya,Premium Sticker Mart,Holographic Goose,20.0
8010,2010-03-31,Canada,Discount Stickers,Holographic Goose,800.0
